Timestamp,Market_Price_EUR_MWh,Household_Load_MW,Battery_Charge_MW,Battery_Discharge_MW,State_Of_Charge_MWh
2026-09-01 00:00:00,57.450712295168486,0.5802176942215709,2.5,0.0,7.3717082
2026-09-01 01:00:00,53.32197090557272,0.6335920545110048,2.5,0.0,9.7434165
2026-09-01 02:00:00,70.10700707221906,0.4451534593605968,0.0,1.2434165,8.4327404
2026-09-01 03:00:00,87.46216713168286,1.1150595616423027,0.0,2.5,5.797509
2026-09-01 04:00:00,64.24540374719747,0.9874470352602253,0.0,0.0,5.797509
2026-09-01 05:00:00,66.06962739940874,1.0698204390995127,0.0,0.0,5.797509
2026-09-01 06:00:00,93.64156761642165,1.729195366435792,0.0,2.5,3.1622777
2026-09-01 07:00:00,80.35673937967005,1.5653392176336751,0.0,2.5,0.52704628
2026-09-01 08:00:00,59.297282071184554,2.085134669325605,2.5,0.0,2.8987545
2026-09-01 09:00:00,70.76015954031053,2.272975591711159,0.0,2.5,0.26352314
2026-09-01 10:00:00,51.016756404737905,2.7429799712549263,2.5,0.0,2.6352314
2026-09-01 11:00:00,226.9273734797876,2.6330954159003164,0.0,2.5,0.0
2026-09-01 12:00:00,50.90610109156559,2.4831778584127875,0.0,0.0,0.0
2026-09-01 13:00:00,13.332774533208209,2.662541191265539,2.5,0.0,2.3717082
2026-09-01 14:00:00,11.50447362578345,2.6927735554096137,2.5,0.0,4.7434165
2026-09-01 15:00:00,25.22628920117657,2.244023414020426,0.81870331,0.0,5.5201066
2026-09-01 16:00:00,15.962314752607236,1.8379853981240004,2.5,0.0,7.8918149
2026-09-01 17:00:00,34.760334605118324,1.1746915436596235,0.0,2.5,5.2565835
2026-09-01 18:00:00,16.797957113535375,0.977009888024755,2.5,0.0,7.6282918
2026-09-01 19:00:00,11.057740111923113,0.948367550962448,2.5,0.0,10.0
2026-09-01 20:00:00,57.36801224826081,0.6345931961335615,0.0,2.5,7.3647686
2026-09-01 21:00:00,36.22167649199329,0.5894892045578777,2.5,0.0,9.7364769
